	MACE_pred	av_rating	sentence	worker_0	worker_1	worker_2	worker_3	worker_4	worker_5	worker_6	worker_7	round	batch	sent_id	disagree	agree	neutral
70	disagrees	-0.875	Global warming is a hoax.	disagrees	disagrees	disagrees	neutral	disagrees	disagrees	disagrees	disagrees	1	2	s0			
71	agrees	0.5	Alarming levels of sea level rise are predicted to threaten Florida over the next decades.	agrees	neutral	agrees	neutral	agrees	agrees	neutral	neutral	1	2	s1			
72	neutral	0.125	Over the past several years, the United States has seen an increase in business growth that has counteracted the lingering effects of the recession.	neutral	neutral	neutral	agrees	neutral	neutral	neutral	neutral	1	2	s2			
73	agrees	0.875	Global warming is happening and it will be dangerous to human health and welfare.	agrees	agrees	agrees	neutral	agrees	agrees	agrees	agrees	1	2	s3			
74	neutral	-0.125	Some icebergs are cute.	neutral	neutral	neutral	disagrees	neutral	neutral	neutral	neutral	1	2	s4			
75	agrees	0.5	Global warming is not expected to end anytime soon.	agrees	neutral	agrees	neutral	neutral	agrees	agrees	neutral	1	2	t0	0.004134649220319444	0.7670870621351137	0.22877828864456684
76	neutral	0.375	Hopefully, now that scientists are aware of this discrepancy this discrepancy, this discrepancy can be addressed in future models of disappearing ice.	neutral	agrees	neutral	agrees	neutral	agrees	neutral	neutral	1	2	t1	0.003790246581580093	0.1413747369930409	0.8548350164253791
77	neutral	0.25	A clear switch away from fossil fuels is now on the cards.	neutral	neutral	agrees	agrees	neutral	neutral	neutral	neutral	1	2	t10	0.0026834805892495053	0.037662841550574526	0.959653677860176
78	agrees	1.0	Human-caused global warming threatens to undermine the past 50 years of gains in public health.	agrees	agrees	agrees	agrees	agrees	agrees	agrees	agrees	1	2	t11	0.0006090952273415423	0.9989791913934812	0.00041171337917716267
79	neutral	0.125	The science of anthropogenic global warming is settled.	neutral	neutral	agrees	neutral	neutral	neutral	neutral	neutral	1	2	t12	0.0023367156744911444	0.027943291136157532	0.9697199931893512
80	neutral	0.5	This work bolsters the view of scientists who’ve been calling for a conservation strategy for polar bears and other ice-dependent species focused on areas of the Arctic where sea ice is projected to endure well into this greenhouse-heated era.	neutral	neutral	agrees	agrees	neutral	agrees	agrees	neutral	1	2	t13	0.004685561558869436	0.4769434271292356	0.5183710113118949
81	neutral	0.25	In the very act of inventing tools to improve the environment, we will come closer to understanding our place on the planet, as well as in a global society of creatures like ourselves.	neutral	neutral	agrees	neutral	neutral	agrees	neutral	neutral	1	2	t14	0.00395823186159078	0.1608811717038171	0.8351605964345922
82	agrees	0.375	Since 1978, the winter Arctic ice cap has shrunk by 12 percent per decade.	agrees	neutral	agrees	neutral	agrees	neutral	neutral	neutral	1	2	t15	0.0047490774284690155	0.4853698158183292	0.509881106753202
83	agrees	1.0	Climate change has the potential to set back global health.	agrees	agrees	agrees	agrees	agrees	agrees	agrees	agrees	1	2	t16	0.000636925875647853	0.9989538283361066	0.0004092457882455296
84	agrees	0.625	They are too pessimistic about the chances of limiting global warming.	neutral	agrees	neutral	agrees	agrees	agrees	agrees	neutral	1	2	t17	0.004452878099641429	0.7120077223253239	0.2835393995750347
85	disagrees	-0.75	Global temperature increases have been far, far less than doomsday computer models predicted – about three times smaller.	disagrees	neutral	disagrees	neutral	disagrees	disagrees	disagrees	disagrees	1	2	t18	0.9913970856756336	0.0013719494562039439	0.0072309648681623765
86	disagrees	-0.375	Global warming may be occurring more slowly than earlier thought, and that previous climate models may have been on the hot side.	disagrees	neutral	neutral	agrees	disagrees	disagrees	disagrees	neutral	1	2	t19	0.8697470514691804	0.005753221314173305	0.12449972721664634
87	agrees	0.875	Recent global warming is not only manmade but dangerous.	agrees	agrees	agrees	neutral	agrees	agrees	agrees	agrees	1	2	t2	0.0007972649192681395	0.9983192702317648	0.0008834648489670447
88	neutral	0.25	Global sea levels have risen approximately 8 inches over the past century, with sea-level rises getting higher in some parts of the globe.	neutral	neutral	neutral	agrees	neutral	neutral	agrees	neutral	1	2	t20	0.0031552689359308343	0.07528948092424285	0.9215552501398264
89	neutral	0.375	This agreement sends a powerful signal that the world is fully committed to a low-carbon future.	neutral	neutral	neutral	agrees	neutral	agrees	agrees	neutral	1	2	t21	0.0043623503432194365	0.26417148910364074	0.7314661605531398
90	neutral	-0.125	People do not focus as much on 2 degrees energy increases in temperatures or increases in sea levels rising.	neutral	neutral	disagrees	agrees	neutral	disagrees	neutral	neutral	1	2	t22	0.1955678213140698	0.007385781649472031	0.7970463970364582
91	agrees	0.875	Global warming is really such a big deal.	agrees	agrees	agrees	neutral	agrees	agrees	agrees	agrees	1	2	t23	0.0007829635708597495	0.9983543673881125	0.0008626690410278633
92	neutral	0.0	China had released about 900 million metric tons more carbon dioxide from 2011 to 201.	neutral	neutral	neutral	neutral	neutral	neutral	neutral	neutral	1	2	t24	0.0009403624989082488	0.0010847789033395325	0.9979748585977524
93	agrees	0.625	Rapid warming in the Arctic could upset these deposits, melting them and freeing the gas.	agrees	neutral	agrees	agrees	agrees	neutral	agrees	neutral	1	2	t25	0.0041016830402863975	0.8150056397423273	0.1808926772173863
94	neutral	0.125	Fossil fuel emissions hit an all-time high in 2017 as carbon dioxide emissions surged for the first time in three years.	neutral	neutral	neutral	neutral	agrees	neutral	neutral	neutral	1	2	t26	0.002852386738707168	0.053755963508733566	0.9433916497525594
95	agrees	1.0	Global warming will harm Americans.	agrees	agrees	agrees	agrees	agrees	agrees	agrees	agrees	1	2	t27	0.0006254757920059448	0.9989528804180621	0.000421643789932081
96	agrees	0.375	Reducing carbon will slow the global warming that is attributed to greenhouse gases.	agrees	neutral	agrees	disagrees	neutral	agrees	agrees	neutral	1	2	t28	0.007860687592152289	0.7819688712937195	0.21017044111412814
97	agrees	0.5	Human activity has increased carbon dioxide emissions and affected the climate.	agrees	neutral	agrees	disagrees	agrees	agrees	agrees	neutral	1	2	t29	0.0049439495640134215	0.9559328089461384	0.039123241489848325
98	agrees	0.625	If the media put global warming front and center on nightly newscasts and front pages and homepages, people would line up to fight the climate crisis.	agrees	agrees	agrees	disagrees	agrees	agrees	agrees	neutral	1	2	t3	0.003337968815647218	0.9877584046464624	0.00890362653789047
99	neutral	0.125	Terrestrial ecosystems play a significant role in the global carbon cycle and offset a large fraction of anthropogenic CO2 emissions.	neutral	neutral	disagrees	neutral	agrees	agrees	neutral	neutral	1	2	t4	0.0692710167063194	0.28284348214529104	0.6478855011483895
100	agrees	0.875	Carbon pollution is like putting the Earth on an escalator of rising temperatures, with natural variation such as El Nino or the cooling effect of volcanoes like hopping up or down a step or two on that escalator.	agrees	agrees	agrees	agrees	agrees	agrees	agrees	neutral	1	2	t5	0.001540554961892523	0.9905866699987149	0.007872775039392408
101	disagrees	-1.0	Global warming will never hurt anyone.	disagrees	disagrees	disagrees	disagrees	disagrees	disagrees	disagrees	disagrees	1	2	t6	0.9991408179176308	0.0005496993993390496	0.0003094826830302047
102	neutral	0.0	Arctic plant species are extremely responsive to fairly rapid climate shifts in the past.	disagrees	neutral	neutral	agrees	neutral	neutral	neutral	neutral	1	2	t7	0.08266693703646741	0.005942620596660182	0.9113904423668726
103	agrees	0.5	If human-driven climate change continues on the present course, the ice covering the site could begin to melt in about 75 years.	agrees	neutral	agrees	disagrees	agrees	agrees	agrees	neutral	1	2	t8	0.004948743725023244	0.9555954982520096	0.03945575802296728
104	disagrees	-0.625	The theory that carbon dioxide is a pollutant has not been substantiated scientifically.	disagrees	neutral	disagrees	agrees	disagrees	disagrees	disagrees	disagrees	1	2	t9	0.9923040207332254	0.0024213156901866373	0.005274663576587967
105	disagrees	-1.0	Global warming is a hoax.	disagrees	disagrees	disagrees	disagrees	disagrees	disagrees	disagrees	disagrees	1	3	s0			
106	agrees	0.625	Alarming levels of sea level rise are predicted to threaten Florida over the next decades.	agrees	neutral	agrees	disagrees	agrees	agrees	agrees	agrees	1	3	s1			
107	neutral	0.0	Over the past several years, the United States has seen an increase in business growth that has counteracted the lingering effects of the recession.	neutral	neutral	neutral	neutral	neutral	neutral	neutral	neutral	1	3	s2			
108	agrees	1.0	Global warming is happening and it will be dangerous to human health and welfare.	agrees	agrees	agrees	agrees	agrees	agrees	agrees	agrees	1	3	s3			
109	neutral	0.0	Some icebergs are cute.	neutral	neutral	neutral	neutral	neutral	neutral	neutral	neutral	1	3	s4			
110	agrees	0.875	Progress in avoiding environmental regrets can come through constructive discussion of ways to cut risks and waste and to sustain a long-term energy quest that extends beyond fossil fuels even while they remain abundant and cheap.	neutral	agrees	agrees	agrees	agrees	agrees	agrees	agrees	1	3	t0	0.0019069101962722536	0.9760481127535582	0.02204497705016947
111	disagrees	-0.625	Most global warming is natural and even if there had been no Industrial Revolution current global temperatures would be almost exactly the same as they are now.	agrees	disagrees	disagrees	disagrees	neutral	disagrees	disagrees	disagrees	1	3	t1	0.9604544749055062	0.03151012755756614	0.008035397536927745
112	agrees	0.75	And that’s not the only way global warming causes psychological problems.	agrees	agrees	agrees	agrees	neutral	neutral	agrees	agrees	1	3	t10	0.0024050219840430513	0.9492996682824169	0.04829530973354007
113	neutral	-0.25	The winter conditions either debunked or supported the picture of human-driven global warming.	neutral	neutral	disagrees	neutral	disagrees	neutral	neutral	neutral	1	3	t11	0.09450111839869772	0.003335375789582961	0.9021635058117192
114	agrees	0.75	As global temperatures warm, all of NASA’ll be looking at a very different planet.	agrees	neutral	agrees	agrees	neutral	agrees	agrees	agrees	1	3	t12	0.0021124209590348084	0.9689433000866006	0.028944278954364636
115	disagrees	-0.625	Scientists had manipulated data to hide the decline in global temperatures.	disagrees	neutral	disagrees	disagrees	neutral	disagrees	disagrees	neutral	1	3	t13	0.8825892419938292	0.0030481958371850948	0.11436256216898605
116	agrees	1.0	Damage to Great Barrier Reef From Global Warming Is Irreversible.	agrees	agrees	agrees	agrees	agrees	agrees	agrees	agrees	1	3	t14	0.0006721871357947112	0.9987142832144748	0.0006135296497306356
117	neutral	0.0	More than half think global warming will never hurt anyone.	disagrees	neutral	neutral	neutral	agrees	neutral	neutral	neutral	1	3	t15	0.045612646763625364	0.014645857343295874	0.9397414958930788
118	neutral	0.0	The researchers plan to test additional sites and examine how carbon dioxide levels changed through the glacial cycle.	neutral	neutral	neutral	neutral	neutral	neutral	neutral	neutral	1	3	t16	0.0008637410679026834	0.000977230292281538	0.9981590286398158
119	neutral	0.0	Ice volume is a better measure than ice area.	neutral	neutral	neutral	neutral	neutral	neutral	neutral	neutral	1	3	t17	0.0008495998814012532	0.0010114378226984595	0.9981389622959002
120	agrees	1.0	The world has little more than a decade to limit catastrophic climate change, which will involve millions of people displaced by sea level rise or subjected to deadly heatwaves, as well as the loss of almost all of the planet’s coral reefs.	agrees	agrees	agrees	agrees	agrees	agrees	agrees	agrees	1	3	t18	0.0006709820952464617	0.9987320845773456	0.0005969333274080077
121	disagrees	-1.0	There is no solid evidence of global warming.	disagrees	disagrees	disagrees	disagrees	disagrees	disagrees	disagrees	disagrees	1	3	t19	0.9988409045204488	0.000635969441566784	0.0005231260379844255
122	neutral	0.0	People will need to see that no catastrophes eventuate on the day the carbon price comes in.	neutral	neutral	disagrees	neutral	agrees	neutral	neutral	neutral	1	3	t2	0.057044415201311274	0.014677835385908625	0.92827774941278
123	disagrees	-0.5	A NASA climate scientist is reported as having faked global warming data.	disagrees	neutral	disagrees	disagrees	neutral	neutral	disagrees	neutral	1	3	t20	0.7229034664114771	0.003857699720270577	0.27323883386825243
124	agrees	0.875	Global warming is occurring.	agrees	neutral	agrees	agrees	agrees	agrees	agrees	agrees	1	3	t21	0.00149566502778542	0.9888181870794058	0.009686147892808736
125	disagrees	-0.875	There is low confidence in attribution of drought on a global scale to human influence on climate.	disagrees	disagrees	disagrees	disagrees	neutral	disagrees	disagrees	disagrees	1	3	t22	0.994894132319604	0.0011271932029430578	0.0039786744774530005
126	agrees	0.75	Global warming is a serious problem but raising the cost of polluting forms of energy is a highly inefficient solution.	agrees	agrees	agrees	agrees	agrees	agrees	agrees	disagrees	1	3	t23	0.03225372008735098	0.9660644055156142	0.001681874397034826
127	neutral	0.125	The political will exists in Washington to pass legislation that could include some kind of a tax on carbon.	neutral	neutral	neutral	neutral	neutral	neutral	neutral	agrees	1	3	t24	0.002263374521537726	0.03351106577145853	0.9642255597070036
128	agrees	0.75	World sea levels are rising on average.	agrees	neutral	agrees	agrees	agrees	neutral	agrees	agrees	1	3	t25	0.002549995342543262	0.9287403145836997	0.068709690073757
129	agrees	0.5	Even modest changes in suicide rates due to climate change could [ lead to ] large changes in the associated global health burden, particularly in wealthier countries where current suicide rates are relatively high.	agrees	neutral	agrees	agrees	neutral	neutral	neutral	agrees	1	3	t26	0.003956953321758439	0.6414077120542183	0.35463533462402325
130	disagrees	-1.0	The scientists responsible for bigging up global warming are a bunch of useless, lying, cheating, conniving, scum-sucking bottom feeders who by rights should be in jail rather than anywhere near a lab.	disagrees	disagrees	disagrees	disagrees	disagrees	disagrees	disagrees	disagrees	1	3	t27	0.9988395788122262	0.0006380518915492093	0.0005223692962246163
131	agrees	0.625	The globally averaged sea surface temperature for 2013 is among the 10 warmest on record.	neutral	neutral	agrees	agrees	agrees	neutral	agrees	agrees	1	3	t28	0.003535091138271606	0.7904517156235792	0.20601319323814926
