	worker_indices	worker_unique_ids	question_indices	ratings	guid	worker_group
140	4	round1_batch0_worker4	20	0	1_0_t27	4
141	4	round1_batch0_worker4	21	1	1_0_t28	4
142	4	round1_batch0_worker4	22	1	1_0_t29	4
143	4	round1_batch0_worker4	23	1	1_0_t3	4
144	4	round1_batch0_worker4	24	1	1_0_t4	4
145	4	round1_batch0_worker4	25	1	1_0_t5	4
146	4	round1_batch0_worker4	26	2	1_0_t6	4
147	4	round1_batch0_worker4	27	0	1_0_t7	4
148	4	round1_batch0_worker4	28	0	1_0_t8	4
149	4	round1_batch0_worker4	29	1	1_0_t9	4
150	5	round1_batch0_worker5	0	2	1_0_t0	5
151	5	round1_batch0_worker5	1	1	1_0_t1	5
152	5	round1_batch0_worker5	2	1	1_0_t10	5
153	5	round1_batch0_worker5	3	0	1_0_t11	5
154	5	round1_batch0_worker5	4	1	1_0_t12	5
155	5	round1_batch0_worker5	5	0	1_0_t13	5
156	5	round1_batch0_worker5	6	1	1_0_t14	5
157	5	round1_batch0_worker5	7	2	1_0_t15	5
158	5	round1_batch0_worker5	8	1	1_0_t16	5
159	5	round1_batch0_worker5	9	1	1_0_t17	5
160	5	round1_batch0_worker5	10	1	1_0_t18	5
161	5	round1_batch0_worker5	11	1	1_0_t19	5
162	5	round1_batch0_worker5	12	1	1_0_t2	5
163	5	round1_batch0_worker5	13	2	1_0_t20	5
164	5	round1_batch0_worker5	14	1	1_0_t21	5
165	5	round1_batch0_worker5	15	2	1_0_t22	5
166	5	round1_batch0_worker5	16	2	1_0_t23	5
167	5	round1_batch0_worker5	17	2	1_0_t24	5
168	5	round1_batch0_worker5	18	2	1_0_t25	5
169	5	round1_batch0_worker5	19	2	1_0_t26	5
170	5	round1_batch0_worker5	20	0	1_0_t27	5
171	5	round1_batch0_worker5	21	1	1_0_t28	5
172	5	round1_batch0_worker5	22	1	1_0_t29	5
173	5	round1_batch0_worker5	23	0	1_0_t3	5
174	5	round1_batch0_worker5	24	2	1_0_t4	5
175	5	round1_batch0_worker5	25	1	1_0_t5	5
176	5	round1_batch0_worker5	26	1	1_0_t6	5
177	5	round1_batch0_worker5	27	0	1_0_t7	5
178	5	round1_batch0_worker5	28	1	1_0_t8	5
179	5	round1_batch0_worker5	29	2	1_0_t9	5
180	6	round1_batch0_worker6	0	2	1_0_t0	6
181	6	round1_batch0_worker6	1	1	1_0_t1	6
182	6	round1_batch0_worker6	2	1	1_0_t10	6
183	6	round1_batch0_worker6	3	0	1_0_t11	6
184	6	round1_batch0_worker6	4	1	1_0_t12	6
185	6	round1_batch0_worker6	5	1	1_0_t13	6
186	6	round1_batch0_worker6	6	0	1_0_t14	6
187	6	round1_batch0_worker6	7	2	1_0_t15	6
188	6	round1_batch0_worker6	8	2	1_0_t16	6
189	6	round1_batch0_worker6	9	0	1_0_t17	6
190	6	round1_batch0_worker6	10	1	1_0_t18	6
191	6	round1_batch0_worker6	11	2	1_0_t19	6
192	6	round1_batch0_worker6	12	0	1_0_t2	6
193	6	round1_batch0_worker6	13	2	1_0_t20	6
194	6	round1_batch0_worker6	14	1	1_0_t21	6
195	6	round1_batch0_worker6	15	2	1_0_t22	6
196	6	round1_batch0_worker6	16	2	1_0_t23	6
197	6	round1_batch0_worker6	17	2	1_0_t24	6
198	6	round1_batch0_worker6	18	2	1_0_t25	6
199	6	round1_batch0_worker6	19	2	1_0_t26	6
200	6	round1_batch0_worker6	20	0	1_0_t27	6
201	6	round1_batch0_worker6	21	2	1_0_t28	6
202	6	round1_batch0_worker6	22	1	1_0_t29	6
203	6	round1_batch0_worker6	23	1	1_0_t3	6
204	6	round1_batch0_worker6	24	1	1_0_t4	6
205	6	round1_batch0_worker6	25	0	1_0_t5	6
206	6	round1_batch0_worker6	26	2	1_0_t6	6
207	6	round1_batch0_worker6	27	0	1_0_t7	6
208	6	round1_batch0_worker6	28	0	1_0_t8	6
209	6	round1_batch0_worker6	29	2	1_0_t9	6
210	7	round1_batch0_worker7	0	2	1_0_t0	7
211	7	round1_batch0_worker7	1	1	1_0_t1	7
212	7	round1_batch0_worker7	2	1	1_0_t10	7
213	7	round1_batch0_worker7	3	0	1_0_t11	7
214	7	round1_batch0_worker7	4	1	1_0_t12	7
215	7	round1_batch0_worker7	5	0	1_0_t13	7
216	7	round1_batch0_worker7	6	0	1_0_t14	7
217	7	round1_batch0_worker7	7	2	1_0_t15	7
218	7	round1_batch0_worker7	8	1	1_0_t16	7
219	7	round1_batch0_worker7	9	1	1_0_t17	7
220	7	round1_batch0_worker7	10	1	1_0_t18	7
221	7	round1_batch0_worker7	11	2	1_0_t19	7
222	7	round1_batch0_worker7	12	0	1_0_t2	7
223	7	round1_batch0_worker7	13	1	1_0_t20	7
224	7	round1_batch0_worker7	14	1	1_0_t21	7
225	7	round1_batch0_worker7	15	2	1_0_t22	7
226	7	round1_batch0_worker7	16	2	1_0_t23	7
227	7	round1_batch0_worker7	17	1	1_0_t24	7
228	7	round1_batch0_worker7	18	1	1_0_t25	7
229	7	round1_batch0_worker7	19	2	1_0_t26	7
230	7	round1_batch0_worker7	20	0	1_0_t27	7
231	7	round1_batch0_worker7	21	2	1_0_t28	7
232	7	round1_batch0_worker7	22	1	1_0_t29	7
233	7	round1_batch0_worker7	23	1	1_0_t3	7
234	7	round1_batch0_worker7	24	1	1_0_t4	7
235	7	round1_batch0_worker7	25	1	1_0_t5	7
236	7	round1_batch0_worker7	26	2	1_0_t6	7
237	7	round1_batch0_worker7	27	1	1_0_t7	7
238	7	round1_batch0_worker7	28	0	1_0_t8	7
239	7	round1_batch0_worker7	29	1	1_0_t9	7
240	8	round1_batch1_worker0	30	2	1_1_t0	0
241	8	round1_batch1_worker0	31	2	1_1_t1	0
242	8	round1_batch1_worker0	32	2	1_1_t10	0
243	8	round1_batch1_worker0	33	2	1_1_t11	0
244	8	round1_batch1_worker0	34	0	1_1_t12	0
245	8	round1_batch1_worker0	35	2	1_1_t13	0
246	8	round1_batch1_worker0	36	0	1_1_t14	0
247	8	round1_batch1_worker0	37	2	1_1_t15	0
248	8	round1_batch1_worker0	38	2	1_1_t16	0
249	8	round1_batch1_worker0	39	0	1_1_t17	0
250	8	round1_batch1_worker0	40	2	1_1_t18	0
251	8	round1_batch1_worker0	41	0	1_1_t19	0
252	8	round1_batch1_worker0	42	0	1_1_t2	0
253	8	round1_batch1_worker0	43	2	1_1_t20	0
254	8	round1_batch1_worker0	44	2	1_1_t21	0
255	8	round1_batch1_worker0	45	0	1_1_t22	0
256	8	round1_batch1_worker0	46	0	1_1_t23	0
257	8	round1_batch1_worker0	47	2	1_1_t24	0
258	8	round1_batch1_worker0	48	0	1_1_t25	0
259	8	round1_batch1_worker0	49	2	1_1_t26	0
260	8	round1_batch1_worker0	50	1	1_1_t27	0
261	8	round1_batch1_worker0	51	1	1_1_t28	0
262	8	round1_batch1_worker0	52	2	1_1_t29	0
263	8	round1_batch1_worker0	53	2	1_1_t3	0
264	8	round1_batch1_worker0	54	1	1_1_t4	0
265	8	round1_batch1_worker0	55	0	1_1_t5	0
266	8	round1_batch1_worker0	56	2	1_1_t6	0
267	8	round1_batch1_worker0	57	2	1_1_t7	0
268	8	round1_batch1_worker0	58	2	1_1_t8	0
269	8	round1_batch1_worker0	59	2	1_1_t9	0
270	9	round1_batch1_worker1	30	1	1_1_t0	1
271	9	round1_batch1_worker1	31	2	1_1_t1	1
272	9	round1_batch1_worker1	32	2	1_1_t10	1
273	9	round1_batch1_worker1	33	2	1_1_t11	1
274	9	round1_batch1_worker1	34	0	1_1_t12	1
275	9	round1_batch1_worker1	35	2	1_1_t13	1
276	9	round1_batch1_worker1	36	0	1_1_t14	1
277	9	round1_batch1_worker1	37	2	1_1_t15	1
278	9	round1_batch1_worker1	38	1	1_1_t16	1
279	9	round1_batch1_worker1	39	0	1_1_t17	1
280	9	round1_batch1_worker1	40	1	1_1_t18	1
281	9	round1_batch1_worker1	41	0	1_1_t19	1
282	9	round1_batch1_worker1	42	1	1_1_t2	1
283	9	round1_batch1_worker1	43	1	1_1_t20	1
284	9	round1_batch1_worker1	44	1	1_1_t21	1
285	9	round1_batch1_worker1	45	1	1_1_t22	1
286	9	round1_batch1_worker1	46	0	1_1_t23	1
287	9	round1_batch1_worker1	47	1	1_1_t24	1
288	9	round1_batch1_worker1	48	0	1_1_t25	1
289	9	round1_batch1_worker1	49	1	1_1_t26	1
290	9	round1_batch1_worker1	50	0	1_1_t27	1
291	9	round1_batch1_worker1	51	1	1_1_t28	1
292	9	round1_batch1_worker1	52	1	1_1_t29	1
293	9	round1_batch1_worker1	53	2	1_1_t3	1
294	9	round1_batch1_worker1	54	1	1_1_t4	1
295	9	round1_batch1_worker1	55	0	1_1_t5	1
296	9	round1_batch1_worker1	56	2	1_1_t6	1
297	9	round1_batch1_worker1	57	2	1_1_t7	1
298	9	round1_batch1_worker1	58	2	1_1_t8	1
299	9	round1_batch1_worker1	59	1	1_1_t9	1
300	10	round1_batch1_worker2	30	2	1_1_t0	2
301	10	round1_batch1_worker2	31	2	1_1_t1	2
302	10	round1_batch1_worker2	32	2	1_1_t10	2
303	10	round1_batch1_worker2	33	2	1_1_t11	2
304	10	round1_batch1_worker2	34	0	1_1_t12	2
305	10	round1_batch1_worker2	35	2	1_1_t13	2
306	10	round1_batch1_worker2	36	0	1_1_t14	2
307	10	round1_batch1_worker2	37	1	1_1_t15	2
308	10	round1_batch1_worker2	38	2	1_1_t16	2
309	10	round1_batch1_worker2	39	0	1_1_t17	2
310	10	round1_batch1_worker2	40	2	1_1_t18	2
311	10	round1_batch1_worker2	41	2	1_1_t19	2
312	10	round1_batch1_worker2	42	1	1_1_t2	2
313	10	round1_batch1_worker2	43	2	1_1_t20	2
314	10	round1_batch1_worker2	44	0	1_1_t21	2
315	10	round1_batch1_worker2	45	1	1_1_t22	2
316	10	round1_batch1_worker2	46	0	1_1_t23	2
317	10	round1_batch1_worker2	47	2	1_1_t24	2
318	10	round1_batch1_worker2	48	2	1_1_t25	2
319	10	round1_batch1_worker2	49	1	1_1_t26	2
320	10	round1_batch1_worker2	50	0	1_1_t27	2
321	10	round1_batch1_worker2	51	1	1_1_t28	2
322	10	round1_batch1_worker2	52	1	1_1_t29	2
323	10	round1_batch1_worker2	53	2	1_1_t3	2
324	10	round1_batch1_worker2	54	1	1_1_t4	2
325	10	round1_batch1_worker2	55	1	1_1_t5	2
326	10	round1_batch1_worker2	56	2	1_1_t6	2
327	10	round1_batch1_worker2	57	2	1_1_t7	2
328	10	round1_batch1_worker2	58	2	1_1_t8	2
329	10	round1_batch1_worker2	59	2	1_1_t9	2
330	11	round1_batch1_worker3	30	2	1_1_t0	3
331	11	round1_batch1_worker3	31	2	1_1_t1	3
332	11	round1_batch1_worker3	32	2	1_1_t10	3
333	11	round1_batch1_worker3	33	2	1_1_t11	3
334	11	round1_batch1_worker3	34	1	1_1_t12	3
335	11	round1_batch1_worker3	35	2	1_1_t13	3
336	11	round1_batch1_worker3	36	0	1_1_t14	3
337	11	round1_batch1_worker3	37	1	1_1_t15	3
338	11	round1_batch1_worker3	38	1	1_1_t16	3
339	11	round1_batch1_worker3	39	0	1_1_t17	3
340	11	round1_batch1_worker3	40	2	1_1_t18	3
341	11	round1_batch1_worker3	41	0	1_1_t19	3
342	11	round1_batch1_worker3	42	1	1_1_t2	3
343	11	round1_batch1_worker3	43	2	1_1_t20	3
344	11	round1_batch1_worker3	44	1	1_1_t21	3
345	11	round1_batch1_worker3	45	0	1_1_t22	3
346	11	round1_batch1_worker3	46	0	1_1_t23	3
347	11	round1_batch1_worker3	47	1	1_1_t24	3
348	11	round1_batch1_worker3	48	0	1_1_t25	3
349	11	round1_batch1_worker3	49	0	1_1_t26	3
350	11	round1_batch1_worker3	50	0	1_1_t27	3
351	11	round1_batch1_worker3	51	1	1_1_t28	3
352	11	round1_batch1_worker3	52	1	1_1_t29	3
353	11	round1_batch1_worker3	53	2	1_1_t3	3
354	11	round1_batch1_worker3	54	1	1_1_t4	3
355	11	round1_batch1_worker3	55	0	1_1_t5	3
356	11	round1_batch1_worker3	56	2	1_1_t6	3
357	11	round1_batch1_worker3	57	2	1_1_t7	3
358	11	round1_batch1_worker3	58	2	1_1_t8	3
359	11	round1_batch1_worker3	59	0	1_1_t9	3
360	12	round1_batch1_worker4	30	1	1_1_t0	4
361	12	round1_batch1_worker4	31	2	1_1_t1	4
362	12	round1_batch1_worker4	32	2	1_1_t10	4
363	12	round1_batch1_worker4	33	1	1_1_t11	4
364	12	round1_batch1_worker4	34	0	1_1_t12	4
365	12	round1_batch1_worker4	35	2	1_1_t13	4
366	12	round1_batch1_worker4	36	0	1_1_t14	4
367	12	round1_batch1_worker4	37	2	1_1_t15	4
368	12	round1_batch1_worker4	38	2	1_1_t16	4
369	12	round1_batch1_worker4	39	0	1_1_t17	4
370	12	round1_batch1_worker4	40	1	1_1_t18	4
371	12	round1_batch1_worker4	41	0	1_1_t19	4
372	12	round1_batch1_worker4	42	2	1_1_t2	4
373	12	round1_batch1_worker4	43	1	1_1_t20	4
374	12	round1_batch1_worker4	44	1	1_1_t21	4
375	12	round1_batch1_worker4	45	1	1_1_t22	4
376	12	round1_batch1_worker4	46	0	1_1_t23	4
377	12	round1_batch1_worker4	47	1	1_1_t24	4
378	12	round1_batch1_worker4	48	1	1_1_t25	4
379	12	round1_batch1_worker4	49	1	1_1_t26	4
380	12	round1_batch1_worker4	50	0	1_1_t27	4
381	12	round1_batch1_worker4	51	1	1_1_t28	4
382	12	round1_batch1_worker4	52	1	1_1_t29	4
383	12	round1_batch1_worker4	53	2	1_1_t3	4
384	12	round1_batch1_worker4	54	1	1_1_t4	4
385	12	round1_batch1_worker4	55	1	1_1_t5	4
386	12	round1_batch1_worker4	56	2	1_1_t6	4
387	12	round1_batch1_worker4	57	2	1_1_t7	4
388	12	round1_batch1_worker4	58	2	1_1_t8	4
389	12	round1_batch1_worker4	59	2	1_1_t9	4
390	13	round1_batch1_worker5	30	1	1_1_t0	5
391	13	round1_batch1_worker5	31	1	1_1_t1	5
392	13	round1_batch1_worker5	32	2	1_1_t10	5
393	13	round1_batch1_worker5	33	2	1_1_t11	5
394	13	round1_batch1_worker5	34	0	1_1_t12	5
395	13	round1_batch1_worker5	35	1	1_1_t13	5
396	13	round1_batch1_worker5	36	2	1_1_t14	5
397	13	round1_batch1_worker5	37	1	1_1_t15	5
398	13	round1_batch1_worker5	38	1	1_1_t16	5
399	13	round1_batch1_worker5	39	0	1_1_t17	5
400	13	round1_batch1_worker5	40	2	1_1_t18	5
401	13	round1_batch1_worker5	41	1	1_1_t19	5
402	13	round1_batch1_worker5	42	1	1_1_t2	5
403	13	round1_batch1_worker5	43	1	1_1_t20	5
404	13	round1_batch1_worker5	44	0	1_1_t21	5
405	13	round1_batch1_worker5	45	0	1_1_t22	5
406	13	round1_batch1_worker5	46	0	1_1_t23	5
407	13	round1_batch1_worker5	47	2	1_1_t24	5
408	13	round1_batch1_worker5	48	1	1_1_t25	5
409	13	round1_batch1_worker5	49	1	1_1_t26	5
410	13	round1_batch1_worker5	50	1	1_1_t27	5
411	13	round1_batch1_worker5	51	1	1_1_t28	5
412	13	round1_batch1_worker5	52	2	1_1_t29	5
413	13	round1_batch1_worker5	53	1	1_1_t3	5
414	13	round1_batch1_worker5	54	1	1_1_t4	5
415	13	round1_batch1_worker5	55	0	1_1_t5	5
416	13	round1_batch1_worker5	56	1	1_1_t6	5
417	13	round1_batch1_worker5	57	2	1_1_t7	5
418	13	round1_batch1_worker5	58	2	1_1_t8	5
419	13	round1_batch1_worker5	59	2	1_1_t9	5
420	14	round1_batch1_worker6	30	1	1_1_t0	6
421	14	round1_batch1_worker6	31	2	1_1_t1	6
422	14	round1_batch1_worker6	32	2	1_1_t10	6
423	14	round1_batch1_worker6	33	2	1_1_t11	6
424	14	round1_batch1_worker6	34	0	1_1_t12	6
425	14	round1_batch1_worker6	35	1	1_1_t13	6
426	14	round1_batch1_worker6	36	0	1_1_t14	6
427	14	round1_batch1_worker6	37	1	1_1_t15	6
428	14	round1_batch1_worker6	38	2	1_1_t16	6
429	14	round1_batch1_worker6	39	0	1_1_t17	6
430	14	round1_batch1_worker6	40	1	1_1_t18	6
431	14	round1_batch1_worker6	41	0	1_1_t19	6
432	14	round1_batch1_worker6	42	1	1_1_t2	6
433	14	round1_batch1_worker6	43	2	1_1_t20	6
434	14	round1_batch1_worker6	44	1	1_1_t21	6
435	14	round1_batch1_worker6	45	1	1_1_t22	6
436	14	round1_batch1_worker6	46	0	1_1_t23	6
437	14	round1_batch1_worker6	47	1	1_1_t24	6
438	14	round1_batch1_worker6	48	1	1_1_t25	6
439	14	round1_batch1_worker6	49	1	1_1_t26	6
440	14	round1_batch1_worker6	50	0	1_1_t27	6
441	14	round1_batch1_worker6	51	1	1_1_t28	6
442	14	round1_batch1_worker6	52	1	1_1_t29	6
443	14	round1_batch1_worker6	53	2	1_1_t3	6
444	14	round1_batch1_worker6	54	1	1_1_t4	6
445	14	round1_batch1_worker6	55	0	1_1_t5	6
446	14	round1_batch1_worker6	56	2	1_1_t6	6
447	14	round1_batch1_worker6	57	2	1_1_t7	6
448	14	round1_batch1_worker6	58	2	1_1_t8	6
449	14	round1_batch1_worker6	59	2	1_1_t9	6
450	15	round1_batch1_worker7	30	2	1_1_t0	7
451	15	round1_batch1_worker7	31	2	1_1_t1	7
452	15	round1_batch1_worker7	32	2	1_1_t10	7
453	15	round1_batch1_worker7	33	2	1_1_t11	7
454	15	round1_batch1_worker7	34	0	1_1_t12	7
455	15	round1_batch1_worker7	35	2	1_1_t13	7
456	15	round1_batch1_worker7	36	0	1_1_t14	7
457	15	round1_batch1_worker7	37	2	1_1_t15	7
458	15	round1_batch1_worker7	38	1	1_1_t16	7
459	15	round1_batch1_worker7	39	0	1_1_t17	7
460	15	round1_batch1_worker7	40	1	1_1_t18	7
461	15	round1_batch1_worker7	41	0	1_1_t19	7
462	15	round1_batch1_worker7	42	2	1_1_t2	7
463	15	round1_batch1_worker7	43	2	1_1_t20	7
464	15	round1_batch1_worker7	44	1	1_1_t21	7
465	15	round1_batch1_worker7	45	1	1_1_t22	7
466	15	round1_batch1_worker7	46	0	1_1_t23	7
467	15	round1_batch1_worker7	47	1	1_1_t24	7
468	15	round1_batch1_worker7	48	0	1_1_t25	7
469	15	round1_batch1_worker7	49	2	1_1_t26	7
470	15	round1_batch1_worker7	50	0	1_1_t27	7
471	15	round1_batch1_worker7	51	1	1_1_t28	7
472	15	round1_batch1_worker7	52	1	1_1_t29	7
473	15	round1_batch1_worker7	53	2	1_1_t3	7
474	15	round1_batch1_worker7	54	1	1_1_t4	7
475	15	round1_batch1_worker7	55	1	1_1_t5	7
476	15	round1_batch1_worker7	56	2	1_1_t6	7
477	15	round1_batch1_worker7	57	2	1_1_t7	7
478	15	round1_batch1_worker7	58	2	1_1_t8	7
479	15	round1_batch1_worker7	59	1	1_1_t9	7
480	16	round1_batch2_worker0	60	2	1_2_t0	0
481	16	round1_batch2_worker0	61	1	1_2_t1	0
482	16	round1_batch2_worker0	62	1	1_2_t10	0
483	16	round1_batch2_worker0	63	2	1_2_t11	0
484	16	round1_batch2_worker0	64	1	1_2_t12	0
485	16	round1_batch2_worker0	65	1	1_2_t13	0
486	16	round1_batch2_worker0	66	1	1_2_t14	0
487	16	round1_batch2_worker0	67	2	1_2_t15	0
488	16	round1_batch2_worker0	68	2	1_2_t16	0
489	16	round1_batch2_worker0	69	1	1_2_t17	0
490	16	round1_batch2_worker0	70	0	1_2_t18	0
491	16	round1_batch2_worker0	71	0	1_2_t19	0
492	16	round1_batch2_worker0	72	2	1_2_t2	0
493	16	round1_batch2_worker0	73	1	1_2_t20	0
494	16	round1_batch2_worker0	74	1	1_2_t21	0
495	16	round1_batch2_worker0	75	1	1_2_t22	0
496	16	round1_batch2_worker0	76	2	1_2_t23	0
