	over34	male	female	college_plus	democrat	independent	republican	poll1_indeed	poll2_very_extremely	poll3_natural	poll4_yes	poll5_very_extremely	poll6_weekly_plus	poll7_very_extremely	mturk_id	unique_id
19	0	1	0	1	0	0	1	1	1	1	1	0	1	1	A2PU5BM2YXFQQS	round1_batch2_worker3
20	0	0	1	1	0	0	1	1	0	1	0	0	1	0	A2GOS6NF74E2ST	round1_batch2_worker4
21	0	0	1	0	0	1	0	1	1	0	1	1	0	0	A3FT3XPTOWHJMY	round1_batch2_worker5
22	1	1	0	1	0	0	1	1	1	0	1	1	1	0	A2PTTSUG7NF42Q	round1_batch2_worker6
23	1	1	0	1	0	1	0	1	1	0	1	1	1	0	AVPKE76DJLWK6	round1_batch2_worker7
24	0	1	0	0	0	0	0	1	1	0	1	1	1	1	AUCHGHY1IKZZK	round1_batch3_worker0
25	1	1	0	1	1	0	0	1	1	0	1	1	0	0	ANNVWKERLZG9A	round1_batch3_worker1
26	1	1	0	1	1	0	0	1	1	0	1	1	1	1	AMPMTF5IAAMK8	round1_batch3_worker2
27	0	1	0	0	1	0	0	1	1	0	1	1	0	0	A36DK84J5YJ942	round1_batch3_worker3
28	0	0	1	0	1	0	0	0	0	1	0	0	0	0	A1VR1XQEQQXYUE	round1_batch3_worker4
29	0	1	0	0	1	0	0	1	0	0	1	1	1	0	A2OO4PG3LBLP5I	round1_batch3_worker5
30	1	0	1	1	1	0	0	1	0	0	1	1	0	0	A1ZT30BGR3266K	round1_batch3_worker6
31	0	0	1	0	0	1	0	1	0	1	1	0	1	0	A2UIGDOLX5RV95	round1_batch3_worker7
32	1	0	1	1	1	0	0	1	1	0	1	1	1	0	A3GZYWA9S6J0K9	round1_batch4_worker0
33	1	0	1	1	1	0	0	1	0	0	1	1	0	0	A2FTVGVF3Q3GHC	round1_batch4_worker1
34	0	0	1	1	0	0	0	0	0	1	1	0	1	0	A3C2X1L5PVNNLV	round1_batch4_worker2
35	0	1	0	1	0	0	1	1	0	1	1	1	0	0	A1K3SIFF770RB5	round1_batch4_worker3
36	0	1	0	1	1	0	0	1	0	0	1	0	0	0	A1PTH9KTRO06EG	round1_batch4_worker4
37	1	0	1	0	0	0	1	0	0	1	0	0	1	1	A2NZ7RMSBXESNI	round1_batch4_worker5
38	1	1	0	0	0	1	0	1	1	0	1	1	1	0	A256FHXGSY0E5D	round1_batch4_worker6
39	1	0	1	0	0	1	0	1	0	0	0	0	1	0	A6U2C66WQ7QQN	round1_batch4_worker7
40	0	1	0	0	0	0	1	1	1	0	1	1	0	0	A29AKJXQ248KNK	round1_batch5_worker0
41	0	0	1	1	1	0	0	1	1	0	1	1	0	0	A2IVGLOBFOT67M	round1_batch5_worker1
42	1	1	0	1	0	1	0	1	0	0	1	0	0	0	A15VCKELIEEPJN	round1_batch5_worker2
43	0	1	0	1	0	1	0	1	1	0	1	0	1	0	A30MP4LXV4MIFD	round1_batch5_worker3
44	1	0	1	1	1	0	0	1	1	0	1	1	1	0	A3BLJ6QSDTZC9U	round1_batch5_worker4
45	0	0	1	0	0	1	0	1	1	0	1	1	0	1	A2KOVSTZGWSVYC	round1_batch5_worker5
46	1	0	1	1	0	1	0	0	0	0	1	0	1	0	A3D2GO0IFRFN6R	round1_batch5_worker6
47	0	1	0	1	1	0	0	1	0	1	1	1	1	1	A1GZNVVE3PMM7Y	round1_batch5_worker7
48	1	0	1	1	0	0	1	0	0	1	1	0	0	0	AK1Y09TWU3IQ6	round1_batch6_worker0
49	0	1	0	1	0	0	0	1	1	0	1	1	1	0	A1CMWA0L8FTSXA	round1_batch6_worker1
50	0	1	0	0	1	0	0	1	1	0	1	1	0	0	A3KVYNEM12AD1C	round1_batch6_worker2
51	1	0	1	0	1	0	0	1	1	0	1	1	1	0	A1LRJ4U04532TM	round1_batch6_worker3
52	0	0	1	1	0	1	0	1	1	0	1	1	0	0	A1ZVTAK0GLO959	round1_batch6_worker4
53	1	1	0	1	1	0	0	1	1	0	1	1	1	0	ANFWGSQ8BQRZ	round1_batch6_worker5
54	0	1	0	0	1	0	0	1	1	0	1	1	1	0	A3CXK1KSRGU27V	round1_batch6_worker6
55	0	1	0	1	1	0	0	1	1	0	1	1	1	1	A272X64FOZFYLB	round1_batch6_worker7
56	0	1	0	0	0	1	0	1	1	0	1	0	0	0	A9O273N0X06JS	round1_batch7_worker0
57	1	0	1	1	1	0	0	1	0	0	1	0	0	0	A2OVX9UW5WANQE	round1_batch7_worker1
58	1	1	0	0	0	1	0	1	0	0	0	0	0	0	A2YHOJLEZR8663	round1_batch7_worker2
59	1	1	0	1	0	0	0	1	0	0	1	0	0	0	A2WWYVKGZZXBOB	round1_batch7_worker3
60	0	0	1	1	0	0	1	0	0	0	1	0	1	0	A5XB2OFILUVP9	round1_batch7_worker4
61	0	1	0	0	0	1	0	0	0	0	1	0	1	0	A1LE6AUI3CJNIT	round1_batch7_worker5
62	0	1	0	1	0	1	0	1	1	0	1	1	1	1	A1N7GHHBH8GMVZ	round1_batch7_worker6
63	1	0	1	0	0	1	0	1	1	0	1	1	1	0	A2TUUIV61CR0C7	round1_batch7_worker7
64	1	1	0	1	0	1	0	1	1	0	0	0	0	0	A2T3N9U2VPSFUM	round1_batch8_worker0
65	1	0	0	1	0	1	0	1	1	0	1	1	1	0	A1B4WL7N3ACF2T	round1_batch8_worker1
66	1	1	0	1	0	1	0	1	1	0	1	1	1	0	A2OC4PZXSR522W	round1_batch8_worker2
67	0	1	0	1	1	0	0	1	1	0	1	1	0	0	A3VHDQR8A9JJ4F	round1_batch8_worker3
68	0	1	0	1	0	1	0	1	0	0	1	1	1	0	A3NKZMF7M4X0ZP	round1_batch8_worker4
69	0	1	0	0	1	0	0	1	1	0	1	1	0	0	A28T38MOUG43YD	round1_batch8_worker5
70	1	1	0	1	1	0	0	1	0	0	1	0	1	1	A28ZPY6D5AS7GZ	round1_batch8_worker6
71	1	0	1	1	1	0	0	1	1	0	1	1	1	1	A28J7H4TH29DC3	round1_batch8_worker7
72	1	0	1	1	0	0	0	1	0	0	1	1	0	0	AWKUOA7M4P8YI	round1_batch9_worker0
73	1	1	0	1	1	0	0	1	1	0	1	1	1	1	A2XHD64QUKA5Z6	round1_batch9_worker1
74	1	1	0	1	0	1	0	1	1	0	1	1	1	1	A2OVWCQ4B9AHFY	round1_batch9_worker2
75	1	0	1	0	1	0	0	1	1	0	1	0	1	1	A1H72Y9Z5NJXDS	round1_batch9_worker3
76	0	1	0	0	1	0	0	1	1	0	1	0	0	0	A15SUPIZ05ZFCD	round1_batch9_worker4
77	0	1	0	1	0	1	0	1	1	0	1	1	1	0	A24LB89P1BPKKF	round1_batch9_worker5
78	1	0	1	0	1	0	0	1	0	0	0	0	0	0	A3N770LD28YDL1	round1_batch9_worker6
79	1	0	1	1	1	0	0	1	1	0	1	1	1	1	A2FL477TMKC91L	round1_batch9_worker7
80	1	0	1	1	0	0	1	1	1	0	1	0	1	1	AX4P2Y35UTMQA	round2_batch0_worker0
81	0	1	0	0	1	0	0	1	1	0	1	1	1	1	A2XUADP5L61HQ5	round2_batch0_worker1
82	0	0	1	0	0	1	0	1	0	0	1	0	1	0	A1SP4XA17LVUQI	round2_batch0_worker2
83	1	0	1	1	0	1	0	1	1	0	1	1	1	0	A230VUDYOCRZ4N	round2_batch0_worker3
84	0	1	0	1	1	0	0	1	1	0	1	0	0	0	A2TLN8489YGY81	round2_batch0_worker4
85	0	0	1	1	0	0	1	1	0	1	0	0	1	0	A3UPZ88FI1EJC	round2_batch0_worker5
86	1	1	0	1	1	0	0	1	0	0	1	0	1	0	A1LZWU72K42V92	round2_batch0_worker6
87	1	1	0	1	1	0	0	1	1	0	1	1	1	1	A3S5UROKNNCNSB	round2_batch0_worker7
88	1	1	0	1	0	1	0	1	1	0	1	1	1	1	A1YSYI926BBOHW	round2_batch1_worker0
89	0	1	0	1	0	1	0	1	1	0	1	1	0	0	AZ69TBTDH7AZS	round2_batch1_worker1
90	0	0	1	1	1	0	0	1	1	0	1	1	0	0	A1R8A8BK2VN7RH	round2_batch1_worker2
91	0	1	0	1	0	0	1	1	1	0	1	1	1	1	A3N0QZ9ZKUCTCQ	round2_batch1_worker3
92	0	1	0	1	0	0	1	1	1	0	0	0	1	0	A2R0YYUAWNT7UD	round2_batch1_worker4
93	1	1	0	1	0	0	1	0	0	0	0	0	1	0	A1T643M1P572AA	round2_batch1_worker5
94	1	0	1	1	0	1	0	1	0	0	0	0	1	0	A127F80LLYOQ22	round2_batch1_worker6
95	0	1	0	1	0	0	1	1	0	1	1	0	1	0	A37EV8RZ82WT8E	round2_batch1_worker7
96	0	0	1	1	1	0	0	1	1	0	1	1	1	1	A2YAYHZYI7M3HD	round2_batch2_worker0
97	0	1	0	0	1	0	0	1	1	0	1	1	1	1	A10O5YR01H865K	round2_batch2_worker1
98	0	0	1	1	1	0	0	1	1	0	1	1	0	0	A7OZPNXIVO1FX	round2_batch2_worker2
99	1	1	0	0	0	1	0	1	0	0	1	0	0	0	A1OZPLHNIU1519	round2_batch2_worker3
100	1	0	1	1	0	1	0	1	1	1	0	0	1	0	A1OUUZSD5DD4ZN	round2_batch2_worker4
101	0	1	0	0	1	0	0	1	1	0	1	1	1	1	A3INEKAD86IRQC	round2_batch2_worker5
102	1	0	1	1	0	1	0	1	1	0	1	1	1	0	A1A1A9UHNQCI9Y	round2_batch2_worker6
103	1	1	0	1	0	0	0	1	1	0	1	1	1	0	A2FV0CMG9S8CU0	round2_batch2_worker7
104	0	1	0	1	0	0	1	1	1	0	1	1	1	0	A1QEQOI98976S0	round2_batch3_worker0
105	0	1	0	1	0	1	0	1	1	0	0	1	0	0	A2O5OJXCUFQ3FV	round2_batch3_worker1
106	0	1	0	1	0	0	1	0	0	1	1	0	1	0	A367PWMGHU17W4	round2_batch3_worker2
107	1	1	0	1	0	1	0	1	0	1	1	0	0	0	A133QG754CGS3I	round2_batch3_worker3
108	0	0	1	0	1	0	0	1	1	0	1	1	1	1	A15XIKX3PI7SLK	round2_batch3_worker4
109	1	1	0	1	1	0	0	1	0	0	1	0	1	0	A3VPK66FDCY78Q	round2_batch3_worker5
110	0	0	1	1	1	0	0	1	0	0	1	1	0	0	A1RV2LERVS0A4H	round2_batch3_worker6
111	0	1	0	1	1	0	0	1	0	0	1	0	0	0	A9K0CV70JWG1W	round2_batch3_worker7
112	1	1	0	1	0	0	1	0	0	1	0	0	1	0	A3G8OON0TDPN1E	round2_batch4_worker0
113	0	1	0	1	1	0	0	1	1	0	1	1	1	1	A1M682B2WUSYJP	round2_batch4_worker1
114	0	1	0	0	0	0	0	1	0	0	1	1	0	0	AIVOFCFMU5LGM	round2_batch4_worker2
115	0	1	0	0	0	0	1	0	0	0	1	0	1	0	ANNEV2BKIR8GK	round2_batch4_worker3
116	1	1	0	0	0	1	0	1	0	0	1	0	1	0	A2615YW1YERQBO	round2_batch4_worker4
117	0	1	0	0	0	1	0	1	1	0	1	1	0	0	A297OTX4PW0XS3	round2_batch4_worker5
118	0	1	0	0	1	0	0	1	1	1	1	1	1	1	A3A82EHCZOQ2CV	round2_batch4_worker6
119	0	0	1	0	0	0	1	1	0	1	0	0	0	0	A2CJYS92WX7HN6	round2_batch4_worker7
120	0	1	0	1	0	1	0	1	1	0	1	1	1	1	A14EYTLSMJRPUK	round2_batch5_worker0
121	0	1	0	1	1	0	0	1	0	1	1	0	1	1	A22JV1E02E0VQO	round2_batch5_worker1
122	1	1	0	0	1	0	0	1	1	0	1	1	1	0	ADXHWQLUQBK77	round2_batch5_worker2
123	1	1	0	0	0	0	1	1	1	0	1	0	1	0	A24W1M0GILRCJ3	round2_batch5_worker3
124	1	0	1	1	0	0	1	1	1	0	1	1	1	1	A32E28U1ZP67NE	round2_batch5_worker4
125	0	1	0	1	0	0	1	1	1	0	0	1	0	1	A1Q0QFRU01HE2Q	round2_batch5_worker5
126	0	1	0	1	1	0	0	1	1	0	1	1	0	0	A3C8NUIBNZYMT2	round2_batch5_worker6
127	1	1	0	1	1	0	0	1	1	0	1	1	1	0	A6HDSE80LQPR8	round2_batch5_worker7
128	0	1	0	1	0	1	0	1	0	0	0	0	0	0	A2Q4Z6CADBW6WD	round2_batch6_worker0
129	1	0	1	1	1	0	0	1	1	0	1	1	1	0	AJRY9ALX8069Y	round2_batch6_worker1
130	1	1	0	0	1	0	0	1	1	0	1	1	0	1	A1V2H0UF94ATWY	round2_batch6_worker2
131	1	0	1	1	1	0	0	1	1	0	1	1	1	1	A1SHLWKA0UH1IS	round2_batch6_worker3
132	1	1	0	1	1	0	0	1	1	0	1	1	1	0	AC5UD8N187QD6	round2_batch6_worker4
133	0	1	0	0	0	0	1	1	1	0	1	1	0	0	A2UYZFH5VT5R3H	round2_batch6_worker5
134	1	0	1	1	1	0	0	1	1	0	1	1	1	1	A2LVCS009DMEAT	round2_batch6_worker6
135	0	1	0	0	0	0	0	1	1	0	1	1	1	0	A2I960JYUZ8KAV	round2_batch6_worker7
136	0	0	1	0	0	1	0	1	1	0	1	0	0	1	A2YO837C0O1E91	round2_batch7_worker0
137	1	1	0	1	0	1	0	0	1	1	0	0	1	0	A2XPWASDT8AYXH	round2_batch7_worker1
138	1	1	0	0	0	0	1	1	1	0	1	0	1	0	A30RAYNDOWQ61S	round2_batch7_worker2
139	1	1	0	1	0	1	0	1	0	0	1	0	1	0	A1L3937MY09J3I	round2_batch7_worker3
140	0	1	0	1	1	0	0	1	1	1	0	0	1	1	A1G187YBG0DVMQ	round2_batch7_worker4
141	0	1	0	1	1	0	0	1	1	0	1	0	0	1	AKNV05F5X5YAC	round2_batch7_worker5
142	1	0	1	1	0	1	0	1	0	0	1	1	1	0	A1BNYBF79IQ89T	round2_batch7_worker6
143	1	0	1	1	1	0	0	1	1	0	1	1	1	0	ASKAY33IJ3KAQ	round2_batch7_worker7
144	1	1	0	1	0	1	0	1	0	0	0	0	1	0	A1AKX1C8GCVCTP	round2_batch8_worker0
145	0	1	0	1	1	0	0	1	0	0	1	1	1	0	A9692Y27LBXT9	round2_batch8_worker1
146	0	1	0	0	0	1	0	1	0	0	1	0	0	0	A3388HIWAKD3DV	round2_batch8_worker2
147	1	0	1	1	0	0	1	1	0	1	0	0	1	0	A36470UBRH28GO	round2_batch8_worker3
148	0	1	0	1	0	0	1	1	1	1	1	1	1	1	A27DB05AO490YQ	round2_batch8_worker4
149	0	1	0	1	0	0	1	1	0	1	1	0	1	0	A3K2DJJV5DWBFD	round2_batch8_worker5
150	0	1	0	0	1	0	0	1	1	0	1	1	1	0	A1VAL7L9L79IN0	round2_batch8_worker6
151	0	1	0	0	0	0	0	1	1	0	1	1	1	0	A3TQUS51JKYUUE	round2_batch8_worker7
152	1	0	1	0	1	0	0	1	0	0	1	0	0	0	A1B4778ETVFAL8	round2_batch9_worker0
153	0	1	0	1	1	0	0	1	0	0	1	0	0	0	A1VR49TB3Q4BV8	round2_batch9_worker1
154	0	1	0	1	1	0	0	1	1	0	1	1	1	1	A25D8MUZP7CQEY	round2_batch9_worker2
155	1	0	1	0	0	1	0	1	0	1	0	0	1	0	A35TWG9VW1MB5S	round2_batch9_worker3
156	0	1	0	1	1	0	0	1	1	0	1	1	1	1	A3CH1Z6J9R38G9	round2_batch9_worker4
157	1	0	1	1	1	0	0	1	0	0	1	1	0	0	A1ROEDVMTO9Y3X	round2_batch9_worker5
158	0	0	1	1	1	0	0	1	1	0	1	0	1	0	AKSJ3C5O3V9RB	round2_batch9_worker6
159	0	1	0	1	0	1	0	1	0	0	1	1	1	0	AK4P9U9NS9DQF	round2_batch9_worker7
160	0	0	1	0	0	1	0	1	0	0	0	0	1	0	A187VXD4ETY6M2	round3_batch0_worker0
161	1	0	1	1	0	0	1	1	0	1	0	0	1	0	A3G5IPGLH1IIZN	round3_batch0_worker1
162	1	0	1	0	1	0	0	1	0	0	1	0	1	0	A3UDUHUVFKD833	round3_batch0_worker2
163	0	1	0	0	1	0	0	1	1	0	1	1	0	1	AFM65NU0UXIGP	round3_batch0_worker3
164	0	1	0	0	1	0	0	1	1	0	1	1	1	0	A3822BB341LIB2	round3_batch0_worker4
165	1	1	0	1	0	0	1	1	0	0	1	1	1	0	A2M45YGLOWMO4N	round3_batch0_worker5
166	1	1	0	1	1	0	0	1	1	0	1	1	1	1	A5NHP0N1XC09K	round3_batch0_worker6
167	1	1	0	1	1	0	0	1	1	0	1	1	1	0	A1KXYURHCYHKOL	round3_batch0_worker7
168	0	0	1	1	0	1	0	1	0	0	1	0	0	0	A2DWSKGD9RNKMJ	round3_batch1_worker0
169	1	1	0	0	0	1	0	1	1	0	1	1	1	0	AKHYHJIQNGWIL	round3_batch1_worker1
170	0	1	0	0	1	0	0	1	1	0	1	1	1	1	A3RR85PK3AV9TU	round3_batch1_worker2
171	1	1	0	1	0	1	0	1	1	0	1	0	1	0	A3L0DCUXI7X3A9	round3_batch1_worker3
172	0	0	1	1	1	0	0	0	1	0	0	1	1	1	A3SD02HCW68EUL	round3_batch1_worker4
173	0	1	0	1	1	0	0	0	1	0	0	1	1	1	ABL3H3O3BI8ZD	round3_batch1_worker5
174	1	0	1	1	0	0	1	1	0	1	1	0	1	0	A2W8ZODKKQ7RYP	round3_batch1_worker6
175	0	0	1	1	1	0	0	1	1	0	1	1	1	0	AN0JVAS4VR13F	round3_batch1_worker7
176	1	0	1	0	0	0	1	1	0	1	1	0	0	0	A55CXM7QR7R0N	round3_batch2_worker0
177	0	1	0	0	1	0	0	1	1	0	1	1	1	0	A2XFO0X6RCS98M	round3_batch2_worker1
178	0	1	0	1	0	1	0	1	1	0	1	1	0	1	A2JTSH1VPJQ8FR	round3_batch2_worker2
179	1	0	1	0	1	0	0	1	0	0	1	0	0	0	A2MX5YW3DSQ61W	round3_batch2_worker3
180	1	0	1	0	0	0	1	0	1	0	0	0	1	0	A36Z98LFRR041Q	round3_batch2_worker4
181	0	1	0	1	0	1	0	1	1	0	0	1	1	0	A17D6BK59S31BM	round3_batch2_worker5
182	1	1	0	0	1	0	0	1	1	0	1	1	0	0	A110KENBXU7SUJ	round3_batch2_worker6
183	1	1	0	1	0	1	0	1	0	0	1	0	1	0	AVX3SWFMBEPMZ	round3_batch2_worker7
184	0	0	1	1	1	0	0	1	1	0	1	1	1	1	A192MH226Q1NT4	round3_batch3_worker0
185	0	1	0	1	0	0	1	1	1	0	0	0	1	0	A154X03NKVZZL1	round3_batch3_worker1
186	0	1	0	1	1	0	0	1	0	0	1	0	1	0	AQORJW4W8U9YU	round3_batch3_worker2
187	1	0	1	1	0	1	0	1	0	0	1	0	0	0	ATTGD1M94GFR	round3_batch3_worker3
188	1	0	1	1	0	0	1	1	1	1	0	1	1	1	A2H6K1XIK4LY7O	round3_batch3_worker4
189	1	1	0	0	0	1	0	1	1	0	1	1	1	1	A2VRDE2FHCBMF8	round3_batch3_worker5
190	0	0	1	0	0	1	0	1	0	0	1	1	0	1	A3MIF7YOVHUQIC	round3_batch3_worker6
191	1	0	1	1	0	0	1	1	1	0	1	1	0	0	AYPOAY43REHC8	round3_batch3_worker7
192	0	1	0	1	0	1	0	1	1	0	1	1	0	0	A3KC26Z78FBOJT	round3_batch4_worker0
193	0	1	0	1	0	1	0	1	0	0	1	0	1	0	A3QCK28LCPAAVE	round3_batch4_worker1
194	0	1	0	0	0	1	0	1	0	0	1	0	0	0	A18G2CLYSTENK	round3_batch4_worker2
195	0	1	0	1	1	0	0	1	1	0	1	1	1	1	A30VAYXB85107X	round3_batch4_worker3
196	0	0	1	0	1	0	0	1	1	0	1	1	1	0	A100Y89FZO4J0B	round3_batch4_worker4
197	1	1	0	0	0	0	1	1	0	0	1	1	0	0	A2KPT0PEUEXCC4	round3_batch4_worker5
198	1	0	1	0	0	1	0	1	1	0	1	1	1	0	AU34T9OMHN4Z4	round3_batch4_worker6
199	0	1	0	0	0	0	0	1	1	0	1	1	1	0	A74PT3GRDMEZ	round3_batch4_worker7
200	0	1	0	0	0	0	1	1	1	1	1	0	1	0	A2DVJ6OMVVYTC7	round3_batch5_worker0
201	1	1	0	1	1	0	0	1	1	0	1	1	1	1	A1VVXZYA3TPHP0	round3_batch5_worker1
202	0	1	0	1	1	0	0	1	0	0	1	0	0	0	AUQ79MANVDU9B	round3_batch5_worker2
203	0	0	1	1	1	0	0	1	1	0	1	1	1	1	AMTTB8JUWRRM7	round3_batch5_worker3
204	0	1	0	1	0	1	0	1	1	0	1	1	0	0	A3GK90X2QOFR53	round3_batch5_worker4
205	1	1	0	0	0	1	0	0	0	1	0	0	1	0	A2Y0WNHMT4PZ4C	round3_batch5_worker5
206	1	0	1	1	0	0	1	1	0	1	1	0	0	0	A3KA08ZKNCAAXO	round3_batch5_worker6
207	1	1	0	0	1	0	0	1	1	0	1	1	1	1	AA9V4NE8SOA4I	round3_batch5_worker7
208	1	1	0	1	0	0	1	0	0	1	1	0	1	0	A2TDAI42SCGC8X	round3_batch6_worker0
209	0	1	0	1	0	1	0	1	1	0	1	1	0	0	A222XREQ12K58P	round3_batch6_worker1
210	0	1	0	1	1	0	0	1	1	0	1	1	1	1	A3I2SQVNFNOIVE	round3_batch6_worker2
211	1	1	0	0	1	0	0	1	1	0	1	1	1	1	A33Q9143TRWADD	round3_batch6_worker3
212	0	0	1	1	1	0	0	1	0	0	1	1	0	0	A32JEH06T23HDF	round3_batch6_worker4
213	1	1	0	0	1	0	0	1	1	0	1	0	1	0	A3RYI5HXC2MJLN	round3_batch6_worker5
214	0	0	1	1	1	0	0	1	1	0	1	0	1	1	AKSJ3C5O3V9RB	round3_batch6_worker6
215	0	1	0	1	1	0	0	1	0	0	1	1	1	0	A1GCTKOPKUTW3G	round3_batch6_worker7
216	0	1	0	1	1	0	0	1	1	0	1	0	0	0	AOWW3URQNRJ6U	round3_batch7_worker0
217	0	1	0	0	0	0	1	1	1	0	1	0	0	1	A2IGPW784OFV3D	round3_batch7_worker1
218	1	0	1	1	0	1	0	0	0	1	0	0	1	0	A2MSVKXC1F3WIU	round3_batch7_worker2
219	1	0	1	1	1	0	0	1	1	0	1	1	1	0	A2NT3OQZUUZPEO	round3_batch7_worker3
220	0	1	0	0	1	0	0	1	1	0	1	1	1	0	A2SB9HU5RD9QCP	round3_batch7_worker4
221	1	1	0	0	0	0	0	1	1	0	1	1	0	0	A258MR1IS96JEP	round3_batch7_worker5
222	1	1	0	0	0	1	0	1	0	0	1	0	0	0	A1DZMZTXWOM9MR	round3_batch7_worker6
223	0	1	0	0	1	0	0	1	1	0	1	1	1	0	A1FNNL4YJGBU8U	round3_batch7_worker7
224	0	1	0	1	0	1	0	1	1	0	1	1	1	0	A1SX8IVV82M0LW	round3_batch8_worker0
225	1	0	1	0	1	0	0	1	1	0	1	1	1	1	A12UOIO3KBRF7M	round3_batch8_worker1
226	0	1	0	0	0	1	0	1	1	0	1	1	0	0	A2QWTQ4I70BRWO	round3_batch8_worker2
227	0	0	1	1	0	1	0	1	1	0	1	1	1	0	A1MJHGH55K3O0	round3_batch8_worker3
228	0	0	1	0	1	0	0	1	1	0	1	1	0	0	AZ8JL3QNIPY4U	round3_batch8_worker4
229	0	1	0	1	1	0	0	1	1	0	1	1	1	0	A3IX3XVGPJH2I7	round3_batch8_worker5
230	1	1	0	1	1	0	0	1	0	0	1	1	0	0	A2JPOXYZM5AJZZ	round3_batch8_worker6
231	1	1	0	1	0	0	1	1	1	0	1	1	1	1	A13FUEPWBCLBUY	round3_batch8_worker7
232	0	1	0	0	0	1	0	1	1	0	1	0	1	0	A2SVNXNMD7E7EH	round3_batch9_worker0
233	0	1	0	0	1	0	0	1	1	0	1	1	1	0	A20188HWPLRTA4	round3_batch9_worker1
234	0	0	1	1	1	0	0	1	1	0	1	1	1	0	A2Z43TA0WZ0EG0	round3_batch9_worker2
235	0	1	0	1	0	1	0	1	1	0	0	0	1	0	AC6Y70F8YSHJN	round3_batch9_worker3
236	0	1	0	1	0	0	1	0	1	1	0	0	1	0	A4J4GGMKJ68L0	round3_batch9_worker4
237	0	0	1	0	0	1	0	1	1	0	0	0	1	0	A1TP0SGMUSJ34B	round3_batch9_worker5
238	0	1	0	1	1	0	0	1	1	0	1	1	0	1	A3D9DWZK2IS3RE	round3_batch9_worker6
239	1	1	0	1	0	1	0	1	1	0	1	0	1	1	A2B8HPIZDKYKDR	round3_batch9_worker7
240	0	1	0	1	1	0	0	1	1	0	1	1	1	1	A1PR74OHURJNTO	round4_batch0_worker0
241	1	1	0	1	0	1	0	1	1	0	1	1	1	1	A279YSE7NB16M0	round4_batch0_worker1
242	1	1	0	1	1	0	0	1	1	0	1	1	1	0	A1KX1CMLUCQNFX	round4_batch0_worker2
243	0	1	0	0	0	1	0	1	0	0	0	0	1	0	A1LWWVCY9FPIAW	round4_batch0_worker3
244	0	1	0	1	1	0	0	1	1	0	1	0	0	1	AYKZ9H4BNW810	round4_batch0_worker4
245	1	0	1	1	1	0	0	1	1	0	1	1	0	1	A1JJYY622DGE5L	round4_batch0_worker5
246	1	1	0	0	1	0	0	1	0	0	1	0	1	0	A3L8LSM7V7KX3T	round4_batch0_worker6
247	1	1	0	0	1	0	0	1	1	0	1	0	1	0	A48WNR6C4CI3J	round4_batch0_worker7
248	0	0	1	0	1	0	0	1	1	0	1	0	0	1	A397QMUM40C4SH	round4_batch1_worker0
249	0	0	1	1	0	0	1	1	1	1	1	1	1	0	A38KMNO228K3JN	round4_batch1_worker1
250	0	1	0	0	0	1	0	1	0	0	1	1	0	0	A21P1T8EW4NHOU	round4_batch1_worker2
